adult,original_language,original_title,overview,release_date,vote_average,vote_count
False,fr,La Sortie de l'Usine Lumière à Lyon,"Working men and women leave the Lumière factory, through the main gate. It is often referred to as the first real motion picture ever made, although Louis Le Prince's 1888 Roundhay Garden Scene pre-dated it by seven years. Three separate versions of this film exist. The first version features a carriage drawn by one horse. In the second, the carriage is drawn by two horses or there is no carriage in the third.",1895-06-10,6.2,52.0
False,fr,Arroseur et arrosé,"A gardener is watering his flowers, when a mischievous boy sneaks up behind his back, and puts a foot on the water hose. The gardener is surprised and looks into the nozzle to find out why the water has stopped coming. The boy then lifts his foot from the hose, whereby the water squirts up in the gardener's face. The gardener chases the boy, grips his ear and slaps him in his buttocks. The boy then runs away and the gardener continues his watering. Three separate versions of this film exist, this is the original, filmed by Louis Lumière.",1895-12-27,7.0,44.0
False,es,L'arrivée d'un train en gare de La Ciotat,"A group of people are standing along the platform of a railway station in La Ciotat, waiting for a train. One is seen coming, at some distance, and eventually stops at the platform. Doors of the railway-cars open and attendants help passengers off and on.  Popular legend has it that, when this film was shown, the first-night audience fled the café in terror, fearing being run over by the ""approaching"" train. This legend has since been identified as promotional embellishment, though there is evidence to suggest that people were astounded at the capabilities of the Lumières' cinématographe.",1896-01-25,6.9,87.0
False,fr,Le Voyage dans la Lune,A Trip to The Moon is a science fiction film from the French film pioneer Georges Méliès from the year 1902 about a trip to the moon. The film was the first film with a self-contained plot and was the beginning of the Science Fiction genre.,1902-09-01,7.9,314.0
False,en,The Great Train Robbery,"The clerk at the train station is assaulted and left tied by four men, then they rob the train threatening the operator. (They) take all the money and shoot a passenger when trying to run away. A little girl discovers the clerk tied and gives notice to the sheriff, who at once goes along with his men hunting the bandits.",1903-12-01,7.1,116.0
False,fr,Voyage à travers l'impossible,"Using every known means of transportation, several savants from the Geographic Society undertake a journey through the Alps to the Sun which finishes under the sea.",1904-10-01,7.1,32.0
False,en,Intolerance: Love's Struggle Throughout the Ages,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",1916-09-04,7.4,63.0
False,en,Easy Street,"When Charlie the Tramp wanders into a mission he is smitten by Edna and puts back the collection box which he has taken. Reformed, he becomes a policeman and is assigned to rough-and-tumble Easy Street. Unable to trick or beat Eric the Tough, he puts Eric's head in a gas pipe and anesthetizes him. A hero, he now helps many poor people living on Easy Street. Eric escapes jail, Edna is kidnapped, but Charlie (recharged after sitting on a doper's needle) conquers all. Easy Street is transformed as is Eric.",1917-01-22,7.0,31.0
False,xx,A Dog's Life,"Poor Charlie lives in a vacant lot. He tries to get a job but when he gets to the head of the employment line the jobs are gone. Back ""home"" he rescues Scraps, a bitch being attacked by other strays. Together they manage to steal some sausages from a lunch wagon. They enter a dance hall where Edna is a singer and unwilling companion to the clientele. He is thrown out when he can't pay. Back ""home""",1918-04-14,7.1,46.0
False,en,Broken Blossoms,Broken Blossoms is an American silent film from director D. W. Griffith. This melodrama tells the love story of an abused English woman and a Chinese Buddhist in a time when London was a brutal and harsh place to live.,1919-05-13,6.9,41.0
False,de,Das Cabinet des Dr. Caligari,"The Cabinet of Dr. Caligari is eerie and expressionistic, silent and surreal. It has become not only a classic of German Expressionist cinema, but a landmark in film history, with creative scenery and an unusual ending.",1920-02-25,7.7,279.0
False,sv,Körkarlen,"It's New Year's Eve. Three drunkards evoke a legend. The legend tells that the last person to die in a year, if he is a great sinner, will have to drive during the whole year the Phantom Chariot, the one that picks up the souls of the dead...",1921-01-01,7.7,70.0
False,en,The Kid,"Considered one of Charlie Chaplin's best films, The Kid also made a star of little Jackie Coogan, who plays a boy cared for by The Tramp when he's abandoned by his mother, Edna. Later, Edna has a change of heart and aches to be reunited with her son. When she finds him and wrests him from The Tramp, it makes for what turns out be one of the most heart-wrenching scenes ever included in a comedy.",1921-01-21,8.0,404.0
False,de,"Nosferatu, eine Symphonie des Grauens","Vampire Count Orlok is interested in a new residence and in real estate agent Hutter's young wife. Silent horror classic based on the Bram Stoker novel ""Dracula"".",1922-03-15,7.7,373.0
False,de,"Dr. Mabuse, der Spieler","Arch-criminal Dr. Mabuse, who is a master of disguise and has been hypnotising people into doing his bidding, sets out to make a fortune and run Berlin. Detective Wenk sets out to stop him.",1922-04-27,7.6,35.0
False,en,Nanook of the North,"This pioneering documentary film depicts the lives of the indigenous Inuit people of Canada's northern Quebec region. Although the production contains some fictional elements, it vividly shows how its resourceful subjects survive in such a harsh climate, revealing how they construct their igloo homes and find food by hunting and fishing. The film also captures the beautiful, if unforgiving, frozen landscape of the Great White North, far removed from conventional civilization.",1922-06-11,7.2,50.0
